Well Position	Cycle	Target Name	Rn	Delta Rn
F6	5	Target 1	-0.789	0.013
F6	6	Target 1	-0.791	0.008
F6	7	Target 1	-0.802	-0.006
F6	8	Target 1	-0.804	-0.01
F6	9	Target 1	-0.79	0.002
F6	10	Target 1	-0.792	-0.002
F6	11	Target 1	-0.785	0.002
F6	12	Target 1	-0.774	0.011
F6	13	Target 1	-0.761	0.022
F6	14	Target 1	-0.738	0.043
F6	15	Target 1	-0.696	0.082
F6	16	Target 1	-0.634	0.143
F6	17	Target 1	-0.555	0.219
F6	18	Target 1	-0.455	0.317
F6	19	Target 1	-0.359	0.41
F6	20	Target 1	-0.291	0.476
F6	21	Target 1	-0.251	0.514
F6	22	Target 1	-0.239	0.524
F6	23	Target 1	-0.223	0.537
F6	24	Target 1	-0.207	0.551
F6	25	Target 1	-0.199	0.557
F6	26	Target 1	-0.192	0.561
F6	27	Target 1	-0.189	0.562
F6	28	Target 1	-0.185	0.564
F6	29	Target 1	-0.18	0.566
F6	30	Target 1	-0.186	0.558
F6	31	Target 1	-0.187	0.555
F6	32	Target 1	-0.19	0.55
F6	33	Target 1	-0.2	0.537
F6	34	Target 1	-0.2	0.535
F6	35	Target 1	-0.192	0.541
F6	36	Target 1	-0.19	0.541
F6	37	Target 1	-0.185	0.544
F6	38	Target 1	-0.185	0.541
F6	39	Target 1	-0.19	0.534
F6	40	Target 1	-0.19	0.532
G1	1	Target 1	-0.719	0.017
G1	2	Target 1	-0.741	-0.01
G1	3	Target 1	-0.728	0
G1	4	Target 1	-0.719	0.004
G1	5	Target 1	-0.697	0.022
G1	6	Target 1	-0.731	-0.017
G1	7	Target 1	-0.713	-0.003
G1	8	Target 1	-0.709	-0.003
G1	9	Target 1	-0.695	0.007
G1	10	Target 1	-0.703	-0.006
G1	11	Target 1	-0.711	-0.017
G1	12	Target 1	-0.707	-0.017
G1	13	Target 1	-0.675	0.01
G1	14	Target 1	-0.664	0.017
G1	15	Target 1	-0.666	0.011
G1	16	Target 1	-0.68	-0.007
G1	17	Target 1	-0.662	0.006
G1	18	Target 1	-0.64	0.024
G1	19	Target 1	-0.631	0.029
G1	20	Target 1	-0.58	0.076
G1	21	Target 1	-0.525	0.126
G1	22	Target 1	-0.416	0.231
G1	23	Target 1	-0.319	0.324
G1	24	Target 1	-0.253	0.386
G1	25	Target 1	-0.185	0.449
G1	26	Target 1	-0.136	0.494
G1	27	Target 1	-0.115	0.511
G1	28	Target 1	-0.109	0.512
G1	29	Target 1	-0.099	0.519
G1	30	Target 1	-0.082	0.531
G1	31	Target 1	-0.075	0.534
G1	32	Target 1	-0.066	0.539
G1	33	Target 1	-0.062	0.538
G1	34	Target 1	-0.057	0.539
G1	35	Target 1	-0.054	0.538
G1	36	Target 1	-0.046	0.542
G1	37	Target 1	-0.054	0.53
G1	38	Target 1	-0.054	0.526
G1	39	Target 1	-0.041	0.534
G1	40	Target 1	-0.031	0.54
G2	1	Target 1	-0.755	0.02
G2	2	Target 1	-0.761	0.01
G2	3	Target 1	-0.788	-0.022
G2	4	Target 1	-0.723	0.039
G2	5	Target 1	-0.702	0.057
G2	6	Target 1	-0.756	-0.002
G2	7	Target 1	-0.758	-0.008
G2	8	Target 1	-0.75	-0.004
G2	9	Target 1	-0.791	-0.049
G2	10	Target 1	-0.807	-0.068
